step,queue_length,waiting_time,ns_avg_waiting_time,ew_avg_waiting_time
197,18,46.0,1.25,1.91
198,9,27.0,0.00,2.25
199,7,33.0,0.00,2.75
200,7,39.0,0.00,3.25
201,6,45.0,0.00,3.75
202,6,51.0,0.00,4.25
203,6,57.0,0.00,4.75
204,6,63.0,0.00,5.25
205,6,69.0,0.00,5.75
206,6,75.0,0.00,6.25
207,6,81.0,0.00,6.75
208,6,87.0,0.00,7.25
209,6,93.0,0.00,7.75
210,6,99.0,0.00,8.25
211,6,105.0,0.00,8.75
212,9,114.0,0.00,9.50
213,12,126.0,0.00,10.50
214,12,138.0,0.00,11.50
215,20,150.0,0.00,9.38
216,12,162.0,0.00,10.12
217,12,174.0,0.00,10.88
218,16,186.0,0.00,10.33
219,12,198.0,0.00,11.00
220,12,210.0,0.00,11.67
221,12,222.0,0.00,12.33
222,12,234.0,0.00,13.00
223,12,246.0,0.00,13.67
224,12,258.0,0.00,14.33
225,12,270.0,0.00,15.00
226,12,282.0,0.00,15.67
227,12,294.0,0.00,16.33
228,13,307.0,0.00,17.06
229,16,323.0,0.00,17.94
230,16,339.0,0.00,18.83
231,16,355.0,0.00,19.72
232,18,373.0,0.00,20.72
233,28,391.0,0.00,17.77
234,19,409.0,0.00,17.78
235,18,427.0,0.00,18.57
236,19,445.0,0.00,18.54
237,18,463.0,0.00,19.29
238,18,481.0,0.00,20.04
239,18,499.0,0.00,20.79
240,18,517.0,0.00,21.54
241,18,535.0,0.00,22.29
242,18,553.0,0.00,23.04
243,18,571.0,0.00,23.79
244,18,589.0,0.00,24.54
245,18,607.0,0.00,25.29
246,19,626.0,0.00,26.08
247,21,647.0,0.00,26.96
248,23,670.0,0.00,27.92
249,24,694.0,0.00,28.92
250,24,718.0,0.00,29.92
251,33,742.0,0.00,26.50
252,25,766.0,0.00,26.41
253,24,790.0,0.00,27.24
254,26,814.0,0.00,27.13
255,24,838.0,0.00,27.93
256,24,862.0,0.00,28.73
257,24,886.0,0.00,29.53
258,24,910.0,0.00,30.33
259,24,934.0,0.00,31.13
260,18,559.0,0.00,23.29
261,12,280.0,0.00,11.67
262,6,93.0,0.00,3.88
263,1,15.0,0.00,0.83
264,0,0.0,0.00,0.00
265,0,0.0,0.00,0.00
266,4,4.0,0.67,0.00
267,5,9.0,1.50,0.00
268,5,14.0,2.33,0.00
269,12,19.0,1.90,0.00
270,8,25.0,2.50,0.00
271,6,31.0,3.10,0.00
272,9,37.0,3.08,0.00
273,6,43.0,3.58,0.00
274,6,49.0,4.08,0.00
275,6,55.0,4.58,0.00
276,6,61.0,5.08,0.00
277,6,67.0,5.58,0.00
278,6,73.0,6.08,0.00
279,6,79.0,6.58,0.00
280,6,85.0,7.08,0.00
281,6,91.0,7.58,0.00
282,7,98.0,8.17,0.00
283,9,107.0,8.92,0.00
284,10,117.0,9.75,0.00
285,11,128.0,10.67,0.00
286,10,137.0,11.42,0.00
287,19,148.0,9.25,0.00
288,12,159.0,9.94,0.00
289,13,170.0,9.44,0.00
290,12,181.0,10.06,0.00
291,12,193.0,10.72,0.00
292,12,205.0,11.39,0.00
293,12,217.0,12.06,0.00
294,12,229.0,12.72,0.00
295,12,241.0,13.39,0.00
296,12,253.0,14.06,0.00
297,12,265.0,14.72,0.00
298,12,277.0,15.39,0.00
299,21,290.0,12.08,0.00
300,16,304.0,12.67,0.00
301,15,318.0,13.25,0.00
302,16,334.0,13.92,0.00
303,18,351.0,14.62,0.00
304,17,367.0,15.29,0.00
305,24,384.0,13.71,0.00
306,18,401.0,14.32,0.00
307,19,418.0,14.41,0.00
308,20,436.0,14.53,0.00
309,18,454.0,15.13,0.00
310,18,472.0,15.73,0.00
311,18,490.0,16.33,0.00
312,18,508.0,16.93,0.00
313,18,526.0,17.53,0.00
314,22,548.0,18.27,0.00
315,23,571.0,19.03,0.00
316,23,594.0,19.80,0.00
317,33,619.0,18.21,0.00
318,31,647.0,18.49,0.00
319,29,675.0,18.75,0.00
320,30,705.0,19.58,0.00
321,30,735.0,20.42,0.00
322,30,765.0,21.25,0.00
323,37,795.0,19.39,0.00
324,32,825.0,19.64,0.00
325,26,500.0,13.89,0.00
326,18,272.0,7.56,0.00
327,12,137.0,3.81,0.00
328,7,63.0,2.03,0.00
329,0,0.0,0.00,0.00
330,0,0.0,0.00,0.00
331,0,0.0,0.00,0.00
332,0,0.0,0.00,0.00
333,2,2.0,0.00,0.17
334,4,6.0,0.00,0.50
335,16,12.0,0.00,0.71
336,6,18.0,0.00,1.06
337,8,25.0,0.00,1.39
338,9,33.0,0.00,1.83
339,9,42.0,0.00,2.33
340,10,52.0,0.00,2.89
341,20,63.0,0.00,2.74
342,12,75.0,0.00,3.26
343,12,87.0,0.00,3.78
344,15,99.0,0.00,4.12
345,12,111.0,0.00,4.62
346,12,123.0,0.00,5.12
347,12,135.0,0.00,5.62
348,12,147.0,0.00,6.12
349,12,159.0,0.00,6.62
350,14,173.0,0.00,7.21
351,16,189.0,0.00,7.88
352,17,206.0,0.00,8.58
353,24,224.0,0.00,8.30
354,22,242.0,0.00,8.34
355,21,263.0,0.00,9.07
356,24,286.0,0.00,9.53
357,24,309.0,0.00,10.30
358,23,332.0,0.00,11.07
359,32,355.0,0.00,10.14
360,23,378.0,0.00,10.80
361,25,401.0,0.00,11.46
362,25,425.0,0.00,11.81
363,24,449.0,0.00,12.47
364,24,473.0,0.00,13.14
365,24,497.0,0.00,13.81
366,24,521.0,0.00,14.47
367,25,546.0,0.00,15.17
368,27,573.0,0.00,15.92
369,28,601.0,0.00,16.69
370,28,629.0,0.00,17.47
371,40,660.0,0.00,16.10
372,34,694.0,0.00,16.93
373,36,729.0,0.00,17.78
374,38,765.0,0.00,18.21
375,36,801.0,0.00,19.07
376,36,837.0,0.00,19.93
377,45,873.0,0.00,18.57
378,37,909.0,0.00,19.34
379,38,945.0,0.00,19.69
380,36,981.0,0.00,20.44
381,36,1017.0,0.00,21.19
382,36,1053.0,0.00,21.94
383,36,1089.0,0.00,22.69
384,39,1128.0,0.00,23.50
385,40,1168.0,0.00,24.33
386,41,1209.0,0.00,25.19
387,43,1252.0,0.00,26.08
388,44,1296.0,0.00,27.00
389,58,1344.0,0.08,24.87
390,45,1051.0,0.21,21.83
391,40,782.0,0.50,16.15
392,36,573.0,0.93,11.67
393,30,384.0,1.36,7.77
394,26,260.0,1.93,5.55
395,28,144.0,1.94,2.37
396,16,106.0,2.39,1.43
397,11,78.0,2.83,0.66
398,11,59.0,2.95,0.00
399,8,67.0,3.35,0.00
400,8,75.0,3.75,0.00
401,8,83.0,4.15,0.00
402,8,91.0,4.55,0.00
403,8,99.0,4.95,0.00
404,9,108.0,5.40,0.00
405,11,119.0,5.95,0.00
406,13,132.0,6.60,0.00
407,22,146.0,6.08,0.00
408,16,160.0,6.40,0.00
409,15,175.0,7.00,0.00
410,18,193.0,7.72,0.00
411,22,213.0,8.19,0.00
412,20,233.0,8.96,0.00
413,28,253.0,8.43,0.00
414,22,273.0,8.81,0.00
415,21,293.0,9.45,0.00
416,21,313.0,9.78,0.00
417,20,333.0,10.41,0.00
418,20,353.0,11.03,0.00
419,20,373.0,11.66,0.00
420,20,393.0,12.28,0.00
421,21,414.0,12.94,0.00
422,22,436.0,13.62,0.00
423,24,460.0,14.38,0.00
424,25,485.0,15.16,0.00
425,34,511.0,14.60,0.00
426,31,539.0,14.18,0.00
427,30,569.0,14.97,0.00
428,32,600.0,15.79,0.00
429,32,632.0,16.63,0.00
430,32,664.0,17.47,0.00
431,41,696.0,16.19,0.00
432,34,728.0,16.55,0.00
433,32,760.0,17.27,0.00
434,33,792.0,18.00,0.00
435,32,824.0,18.73,0.00
436,32,856.0,19.45,0.00
437,32,888.0,20.18,0.00
438,33,921.0,20.93,0.00
439,36,957.0,21.75,0.00
440,36,993.0,22.57,0.00
441,37,1030.0,23.41,0.00
442,40,1070.0,24.32,0.00
443,50,1113.0,23.68,0.00
444,45,1157.0,24.10,0.00
445,46,1201.0,24.51,0.00
446,45,1245.0,25.41,0.00
447,45,1289.0,25.78,0.00
448,44,1333.0,26.66,0.00
449,51,1377.0,25.98,0.00
450,47,1421.0,25.38,0.00
451,45,1465.0,26.16,0.00
452,45,1509.0,26.95,0.00
453,44,1553.0,27.73,0.00
454,45,1598.0,28.54,0.00
455,40,1258.0,25.16,0.00
456,35,964.0,19.28,0.00
457,31,702.0,14.04,0.00
458,25,494.0,9.88,0.00
459,22,318.0,7.23,0.00
460,20,190.0,4.25,0.25
461,25,114.0,2.61,0.44
462,17,67.0,1.31,0.71
463,16,52.0,0.78,1.11
464,12,39.0,0.26,1.61
465,10,39.0,0.00,2.17
466,11,50.0,0.00,2.78
467,21,62.0,0.00,2.70
468,13,74.0,0.00,3.22
469,12,86.0,0.00,3.74
470,13,98.0,0.00,4.08
471,13,110.0,0.00,4.58
472,12,122.0,0.00,5.08
473,12,134.0,0.00,5.58
474,12,146.0,0.00,6.08
475,12,158.0,0.00,6.58
476,13,171.0,0.00,7.12
477,16,187.0,0.00,7.79
478,16,203.0,0.00,8.46
479,26,219.0,0.00,7.55
480,19,238.0,0.00,8.21
481,23,260.0,0.00,8.67
482,24,283.0,0.00,9.43
483,23,306.0,0.00,10.20
484,23,329.0,0.00,10.97
485,31,352.0,0.00,10.35
486,25,375.0,0.00,10.71
487,24,398.0,0.00,11.06
488,25,422.0,0.00,11.72
489,24,446.0,0.00,12.39
490,24,470.0,0.00,13.06
491,24,494.0,0.00,13.72
492,24,518.0,0.00,14.39
493,26,544.0,0.00,15.11
494,29,573.0,0.00,15.92
495,30,603.0,0.00,16.75
496,30,633.0,0.00,17.58
497,39,663.0,0.00,16.17
498,33,696.0,0.00,16.98
499,36,731.0,0.00,17.83
